,state,catId,catName,category
0,Cerrillos,1,Automovil,21
1,Cerro Navia,1,Automovil,5
2,Colina,1,Automovil,5
3,Conchalí,1,Automovil,13
4,El Bosque,1,Automovil,19
5,Estación Central,1,Automovil,19
6,Huechuraba,1,Automovil,27
7,Independencia,1,Automovil,15
8,Isla de Maipo,1,Automovil,1
9,La Cisterna,1,Automovil,24
10,La Florida,1,Automovil,57
11,La Granja,1,Automovil,12
12,La Pintana,1,Automovil,11
13,La Reina,1,Automovil,52
14,Las Condes,1,Automovil,128
15,Lo Barnechea,1,Automovil,49
16,Lo Espejo,1,Automovil,5
17,Lo Prado,1,Automovil,8
18,Macul,1,Automovil,27
19,Maipú,1,Automovil,67
20,Melipilla,1,Automovil,2
21,Ñuñoa,1,Automovil,84
22,Otra,1,Automovil,9
23,Paine,1,Automovil,1
24,Pedro Aguirre Cerda,1,Automovil,8
25,Peñaflor,1,Automovil,4
26,Peñalolén,1,Automovil,18
27,Providencia,1,Automovil,170
28,Pudahuel,1,Automovil,10
29,Puente Alto,1,Automovil,28
30,Quilicura,1,Automovil,24
31,Quinta Normal,1,Automovil,17
32,Recoleta,1,Automovil,34
33,Renca,1,Automovil,9
34,San Bernardo,1,Automovil,15
35,San Joaquín,1,Automovil,21
36,San José de Maipo,1,Automovil,1
37,San Miguel,1,Automovil,49
38,San Ramón,1,Automovil,10
39,Santiago,1,Automovil,662
40,Vitacura,1,Automovil,100
41,Lampa,1,Automovil,5
42,Buin,2,Station Wagon,1
43,Calera de Tango,2,Station Wagon,1
44,Cerrillos,2,Station Wagon,9
45,Cerro Navia,2,Station Wagon,1
46,Colina,2,Station Wagon,2
47,Conchalí,2,Station Wagon,7
48,El Bosque,2,Station Wagon,2
49,Estación Central,2,Station Wagon,5
50,Huechuraba,2,Station Wagon,14
51,Independencia,2,Station Wagon,8
52,Isla de Maipo,2,Station Wagon,1
53,La Cisterna,2,Station Wagon,6
54,La Florida,2,Station Wagon,35
55,La Granja,2,Station Wagon,1
56,La Pintana,2,Station Wagon,1
57,La Reina,2,Station Wagon,43
58,Las Condes,2,Station Wagon,139
59,Lo Barnechea,2,Station Wagon,71
60,Lo Espejo,2,Station Wagon,1
61,Lo Prado,2,Station Wagon,2
62,Macul,2,Station Wagon,8
63,Maipú,2,Station Wagon,27
64,Ñuñoa,2,Station Wagon,61
65,Otra,2,Station Wagon,5
66,Pedro Aguirre Cerda,2,Station Wagon,3
67,Peñalolén,2,Station Wagon,14
68,Pirque,2,Station Wagon,1
69,Providencia,2,Station Wagon,133
70,Pudahuel,2,Station Wagon,5
