,state,catId,catName,category
0,Santiago,1,Hyundai,146
1,Otra,1,Hyundai,116
2,Providencia,1,Hyundai,19
3,Maipú,1,Hyundai,19
4,La Florida,1,Hyundai,16
5,Quilicura,1,Hyundai,15
6,La Reina,1,Hyundai,13
7,Estación Central,1,Hyundai,12
8,Quinta Normal,1,Hyundai,11
9,Conchalí,1,Hyundai,11
10,Ñuñoa,1,Hyundai,11
11,Vitacura,1,Hyundai,10
12,San Bernardo,1,Hyundai,8
13,Independencia,1,Hyundai,8
14,Las Condes,1,Hyundai,8
15,San Miguel,1,Hyundai,8
16,Peñalolén,1,Hyundai,8
17,Puente Alto,1,Hyundai,8
18,La Cisterna,1,Hyundai,7
19,La Granja,1,Hyundai,6
20,Pudahuel,1,Hyundai,6
21,San Joaquín,1,Hyundai,5
22,San Ramón,1,Hyundai,5
23,Renca,1,Hyundai,5
24,Recoleta,1,Hyundai,4
25,La Pintana,1,Hyundai,4
26,Huechuraba,1,Hyundai,4
27,Colina,1,Hyundai,3
28,El Bosque,1,Hyundai,3
29,Lampa,1,Hyundai,3
30,Macul,1,Hyundai,3
31,Cerrillos,1,Hyundai,2
32,Pedro Aguirre Cerda,1,Hyundai,2
33,Lo Prado,1,Hyundai,2
34,Buin,1,Hyundai,1
35,Tiltil,1,Hyundai,1
36,Cerro Navia,1,Hyundai,1
37,Santiago,3,Chevrolet,133
38,Otra,3,Chevrolet,98
39,San Miguel,3,Chevrolet,17
40,Ñuñoa,3,Chevrolet,17
41,La Florida,3,Chevrolet,15
42,Maipú,3,Chevrolet,15
43,Quilicura,3,Chevrolet,13
44,Quinta Normal,3,Chevrolet,12
45,Providencia,3,Chevrolet,12
46,Las Condes,3,Chevrolet,12
47,Macul,3,Chevrolet,9
48,San Joaquín,3,Chevrolet,8
49,La Granja,3,Chevrolet,8
50,Conchalí,3,Chevrolet,8
51,Pudahuel,3,Chevrolet,7
52,La Pintana,3,Chevrolet,7
53,Estación Central,3,Chevrolet,7
54,La Reina,3,Chevrolet,7
55,La Cisterna,3,Chevrolet,6
56,Cerrillos,3,Chevrolet,6
57,Independencia,3,Chevrolet,6
58,Huechuraba,3,Chevrolet,5
59,Puente Alto,3,Chevrolet,5
60,Vitacura,3,Chevrolet,5
61,El Bosque,3,Chevrolet,4
62,Peñalolén,3,Chevrolet,4
63,Renca,3,Chevrolet,3
64,San Bernardo,3,Chevrolet,3
65,Lo Prado,3,Chevrolet,3
66,Colina,3,Chevrolet,2
67,San Ramón,3,Chevrolet,2
68,Recoleta,3,Chevrolet,2
69,Peñaflor,3,Chevrolet,2
70,Buin,3,Chevrolet,2
71,Cerro Navia,3,Chevrolet,1
72,Paine,3,Chevrolet,1
73,Pedro Aguirre Cerda,3,Chevrolet,1
74,Melipilla,3,Chevrolet,1
75,Talagante,3,Chevrolet,1
76,Calera de Tango,3,Chevrolet,1
77,Padre Hurtado,3,Chevrolet,1
78,Otra,4,Kia,131
79,Santiago,4,Kia,124
80,San Miguel,4,Kia,13
81,Ñuñoa,4,Kia,13
82,Maipú,4,Kia,12
