,state,catId,catName,category,
197,Pedro Aguirre Cerda,6,2013,2,
198,Peñalolén,6,2013,2,
199,Pirque,6,2013,1,
200,Providencia,6,2013,5,
201,Pudahuel,6,2013,3,
202,Puente Alto,6,2013,3,
203,Quilicura,6,2013,1,
204,Recoleta,6,2013,2,
205,Renca,6,2013,3,
206,San Bernardo,6,2013,3,
207,San Joaquín,6,2013,5,
208,San Miguel,6,2013,1,
209,San Ramón,6,2013,1,
210,Santiago,6,2013,45,
211,Tiltil,6,2013,1,
212,Vitacura,6,2013,4,
213,Calera de Tango,7,2012,1,
214,Cerrillos,7,2012,2,
215,Colina,7,2012,1,
216,Conchalí,7,2012,2,
217,El Bosque,7,2012,4,
218,Estación Central,7,2012,3,
219,Huechuraba,7,2012,1,
220,Independencia,7,2012,2,
221,La Cisterna,7,2012,3,
222,La Florida,7,2012,7,
223,La Granja,7,2012,1,
224,La Reina,7,2012,2,
225,Lampa,7,2012,3,
226,Las Condes,7,2012,5,
227,Lo Espejo,7,2012,1,
228,Lo Prado,7,2012,1,
229,Macul,7,2012,2,
230,Maipú,7,2012,6,
231,Ñuñoa,7,2012,5,
232,Otra,7,2012,8,
233,Padre Hurtado,7,2012,1,
234,Pedro Aguirre Cerda,7,2012,1,
235,Peñalolén,7,2012,1,
236,Providencia,7,2012,6,
237,Pudahuel,7,2012,1,
238,Puente Alto,7,2012,6,
239,Quilicura,7,2012,2,
240,Quinta Normal,7,2012,2,
241,Recoleta,7,2012,3,
242,Renca,7,2012,1,
243,San Bernardo,7,2012,1,
244,San Joaquín,7,2012,3,
245,San Miguel,7,2012,5,
246,San Ramón,7,2012,2,
247,Santiago,7,2012,45,
248,Vitacura,7,2012,4,
249,Buin,8,2011,2,
250,Cerrillos,8,2011,1,
251,Cerro Navia,8,2011,2,
252,El Bosque,8,2011,4,
253,El Monte,8,2011,1,
254,Huechuraba,8,2011,2,
255,Independencia,8,2011,5,
256,La Florida,8,2011,7,
257,La Pintana,8,2011,1,
258,Las Condes,8,2011,5,
259,Lo Espejo,8,2011,3,
260,Maipú,8,2011,2,
261,Ñuñoa,8,2011,16,
262,Otra,8,2011,13,
263,Padre Hurtado,8,2011,1,
264,Peñalolén,8,2011,1,
265,Providencia,8,2011,11,
266,Pudahuel,8,2011,1,
267,Puente Alto,8,2011,3,
268,Quilicura,8,2011,4,
269,Quinta Normal,8,2011,8,
270,Recoleta,8,2011,4,
271,Renca,8,2011,1,
272,San Bernardo,8,2011,3,
273,San Joaquín,8,2011,1,
274,San Miguel,8,2011,3,
275,San Ramón,8,2011,1,
276,Santiago,8,2011,50,
277,Cerrillos,9,2010,1,
278,Conchalí,9,2010,1,
279,El Bosque,9,2010,1,
280,Huechuraba,9,2010,2,
281,Isla de Maipo,9,2010,1,
282,La Cisterna,9,2010,4,
283,La Granja,9,2010,3,
284,La Reina,9,2010,2,
285,Lampa,9,2010,1,
286,Las Condes,9,2010,5,
287,Lo Espejo,9,2010,1,
288,Macul,9,2010,1,
289,Maipú,9,2010,1,
290,Ñuñoa,9,2010,12,
291,Otra,9,2010,10,
292,Peñalolén,9,2010,4,
293,Providencia,9,2010,2,
294,Pudahuel,9,2010,1,
295,Puente Alto,9,2010,2,
296,Quilicura,9,2010,1,
297,Quinta Normal,9,2010,2,
298,Recoleta,9,2010,3,
299,Renca,9,2010,2,
300,San Bernardo,9,2010,1,
301,San José de Maipo,9,2010,1,
302,San Ramón,9,2010,1,
303,Santiago,9,2010,28,
304,Cerrillos,10,2009,1,
305,El Bosque,10,2009,5,
306,Estación Central,10,2009,1,
307,Huechuraba,10,2009,2,
308,Independencia,10,2009,2,
309,La Florida,10,2009,1,
310,La Granja,10,2009,1,
311,La Pintana,10,2009,2,
312,La Reina,10,2009,1,
313,Las Condes,10,2009,2,
314,Macul,10,2009,1,
315,Melipilla,10,2009,1,
316,Ñuñoa,10,2009,7,
317,Otra,10,2009,3,
318,Peñalolén,10,2009,1,
319,Providencia,10,2009,2,
320,Quilicura,10,2009,1,
321,Quinta Normal,10,2009,1,
322,Recoleta,10,2009,1,
323,San Bernardo,10,2009,1,
324,San Miguel,10,2009,1,
325,Santiago,10,2009,24,
326,Buin,11,2008,1,
327,Cerrillos,11,2008,1,
328,Conchalí,11,2008,1,
329,Independencia,11,2008,1,
330,La Cisterna,11,2008,1,
331,La Florida,11,2008,4,
332,La Granja,11,2008,1,
333,La Reina,11,2008,3,
334,Las Condes,11,2008,4,
335,Macul,11,2008,1,
336,Maipú,11,2008,2,
337,Ñuñoa,11,2008,3,
338,Otra,11,2008,4,
339,Peñalolén,11,2008,2,
340,Providencia,11,2008,4,
341,Pudahuel,11,2008,1,
342,Quilicura,11,2008,1,
343,Quinta Normal,11,2008,5,
344,Recoleta,11,2008,1,
345,Renca,11,2008,2,
346,San Bernardo,11,2008,2,
347,San Joaquín,11,2008,3,
348,San Miguel,11,2008,1,
349,Santiago,11,2008,24,
350,Cerrillos,12,2007,1,
351,Cerro Navia,12,2007,2,
352,Conchalí,12,2007,1,
353,Estación Central,12,2007,1,
354,La Cisterna,12,2007,2,
355,La Florida,12,2007,1,
356,La Granja,12,2007,1,
357,Las Condes,12,2007,3,
358,Macul,12,2007,1,
359,Maipú,12,2007,1,
360,Ñuñoa,12,2007,2,
361,Otra,12,2007,1,
362,Providencia,12,2007,3,
363,Puente Alto,12,2007,1,
364,Recoleta,12,2007,1,
365,Renca,12,2007,1,
366,Santiago,12,2007,14,
367,Vitacura,12,2007,1,
