,state,catId,catName,category
0,Buin,1,Blanco,1
1,Calera de Tango,1,Blanco,5
2,Cerrillos,1,Blanco,10
3,Cerro Navia,1,Blanco,3
4,Colina,1,Blanco,5
5,Conchalí,1,Blanco,9
6,Curacaví,1,Blanco,2
7,El Bosque,1,Blanco,15
8,Estación Central,1,Blanco,22
9,Huechuraba,1,Blanco,16
10,Independencia,1,Blanco,13
11,La Cisterna,1,Blanco,20
12,La Florida,1,Blanco,43
13,La Granja,1,Blanco,11
14,La Pintana,1,Blanco,4
15,La Reina,1,Blanco,29
16,Las Condes,1,Blanco,75
17,Lo Barnechea,1,Blanco,32
18,Lo Espejo,1,Blanco,4
19,Lo Prado,1,Blanco,7
20,Macul,1,Blanco,20
21,Maipú,1,Blanco,33
22,Melipilla,1,Blanco,4
23,Ñuñoa,1,Blanco,50
24,Otra,1,Blanco,16
25,Padre Hurtado,1,Blanco,3
26,Paine,1,Blanco,1
27,Pedro Aguirre Cerda,1,Blanco,6
28,Peñaflor,1,Blanco,1
29,Peñalolén,1,Blanco,19
30,Pirque,1,Blanco,1
31,Providencia,1,Blanco,42
32,Pudahuel,1,Blanco,24
33,Puente Alto,1,Blanco,12
34,Quilicura,1,Blanco,23
35,Quinta Normal,1,Blanco,33
36,Recoleta,1,Blanco,17
37,Renca,1,Blanco,11
38,San Bernardo,1,Blanco,15
39,San Joaquín,1,Blanco,10
40,San Miguel,1,Blanco,30
41,San Ramón,1,Blanco,5
42,Santiago,1,Blanco,334
43,Talagante,1,Blanco,4
44,Tiltil,1,Blanco,1
45,Vitacura,1,Blanco,48
46,Lampa,1,Blanco,7
47,Buin,2,Plateado,1
48,Calera de Tango,2,Plateado,1
49,Cerrillos,2,Plateado,5
50,Cerro Navia,2,Plateado,2
51,Conchalí,2,Plateado,5
52,El Bosque,2,Plateado,19
53,Estación Central,2,Plateado,9
54,Huechuraba,2,Plateado,19
55,Independencia,2,Plateado,9
56,La Cisterna,2,Plateado,27
57,La Florida,2,Plateado,36
58,La Granja,2,Plateado,4
59,La Pintana,2,Plateado,12
60,La Reina,2,Plateado,17
61,Las Condes,2,Plateado,54
