,state,catId,catName,category
0,Calera de Tango,1,Blanco,1
1,Cerrillos,1,Blanco,14
2,Cerro Navia,1,Blanco,3
3,Colina,1,Blanco,2
4,Conchalí,1,Blanco,4
5,El Bosque,1,Blanco,8
6,Estación Central,1,Blanco,8
7,Huechuraba,1,Blanco,15
8,Independencia,1,Blanco,8
9,La Cisterna,1,Blanco,16
10,La Florida,1,Blanco,32
11,La Granja,1,Blanco,6
12,La Pintana,1,Blanco,8
13,La Reina,1,Blanco,30
14,Las Condes,1,Blanco,83
15,Lo Barnechea,1,Blanco,32
16,Lo Espejo,1,Blanco,4
17,Lo Prado,1,Blanco,3
18,Macul,1,Blanco,12
19,Maipú,1,Blanco,40
20,Melipilla,1,Blanco,2
21,Ñuñoa,1,Blanco,38
22,Otra,1,Blanco,5
23,Padre Hurtado,1,Blanco,1
24,Pedro Aguirre Cerda,1,Blanco,5
25,Peñalolén,1,Blanco,7
26,Providencia,1,Blanco,80
27,Pudahuel,1,Blanco,11
28,Puente Alto,1,Blanco,13
29,Quilicura,1,Blanco,13
30,Quinta Normal,1,Blanco,5
31,Recoleta,1,Blanco,15
32,Renca,1,Blanco,5
33,San Bernardo,1,Blanco,18
34,San Joaquín,1,Blanco,9
35,San Miguel,1,Blanco,29
36,San Ramón,1,Blanco,1
37,Santiago,1,Blanco,335
38,Vitacura,1,Blanco,60
39,Lampa,1,Blanco,3
40,Buin,2,Plateado,1
41,Cerrillos,2,Plateado,6
42,Cerro Navia,2,Plateado,1
43,Colina,2,Plateado,4
44,Conchalí,2,Plateado,8
45,El Bosque,2,Plateado,5
46,Estación Central,2,Plateado,6
47,Huechuraba,2,Plateado,13
48,Isla de Maipo,2,Plateado,1
49,La Cisterna,2,Plateado,6
50,La Florida,2,Plateado,19
51,La Granja,2,Plateado,7
52,La Pintana,2,Plateado,5
53,La Reina,2,Plateado,17
54,Las Condes,2,Plateado,100
55,Lo Barnechea,2,Plateado,44
56,Lo Espejo,2,Plateado,1
57,Lo Prado,2,Plateado,3
58,Macul,2,Plateado,9
59,Maipú,2,Plateado,28
60,Ñuñoa,2,Plateado,47
61,Otra,2,Plateado,5
62,Pedro Aguirre Cerda,2,Plateado,3
63,Peñalolén,2,Plateado,8
64,Providencia,2,Plateado,92
65,Pudahuel,2,Plateado,5
66,Puente Alto,2,Plateado,9
